Portfolio,Scenario,Bond,Yield Shift (bps),Actual Price Change,Actual % Change,Duration-based Approx,Duration+Convexity Approx,Duration Error (%),Convexity Error (%)
aggressive,Bear_Flattener_100bps,219023AC2 Corp,67.89705824528647,-2.8467505249506218,-4.304128494279862,-2.9390636510833494,-2.8444246495765713,3.242754337748964,-0.08170281707740559
aggressive,Bear_Flattener_100bps,00817YAG3 Corp,63.919077302353884,-5.51480017804198,-5.119624315752593,-5.713845380918696,-5.509345580857758,3.609291297067194,-0.09890833771168495
aggressive,Bear_Flattener_100bps,62912XAC8 Corp,64.58060416103528,-5.53732739448742,-4.957042427442687,-5.734873039081671,-5.531935493382838,3.567526904602272,-0.09737370974216453
aggressive,Bear_Flattener_100bps,53079EAN4 Corp,68.51833184738892,-3.07405456895944,-4.193060095875822,-3.172896615881301,-3.071566303017767,3.215364096653585,-0.0809441044670525
aggressive,Bear_Flattener_100bps,88732JAJ7 Corp,65.23818562834516,-4.987771246673148,-5.009142740233997,-5.1640485570088,-4.983034022608659,3.534189954144937,-0.09497677079013822
aggressive,Inversion_100bps,72650RAR3 Corp,-111.38693475527067,5.094616581688214,7.685044062316461,4.828770004157763,5.083752988124817,-5.218186163135314,-0.2132367252610259
aggressive,Inversion_100bps,219023AC2 Corp,-111.49077769683325,5.092171964527466,7.699080849620955,4.8261073546956625,5.081287054996364,-5.224972991588542,-0.21375769724447727
aggressive,Inversion_100bps,00817YAG3 Corp,-152.25438134940018,14.85020896428017,13.786082623673465,13.610302750191089,14.770605953943162,-8.349419304950391,-0.5360396646840505
aggressive,Inversion_100bps,62912XAC8 Corp,-147.0279998173099,14.17674348918031,12.69108975365974,13.056349086482104,14.108209945422084,-7.903044895700422,-0.4834223304564351
aggressive,Inversion_100bps,53079EAN4 Corp,-106.90390573324507,5.207068971082535,7.102526200928813,4.950427594778533,5.1970956821322,-4.928710906831858,-0.19153364408502938
aggressive,Inversion_100bps,88732JAJ7 Corp,-136.14555818233148,11.611313761671383,11.661065665882322,10.776852030801344,11.565197639641736,-7.186626319793146,-0.39716541104826947
barbell,COVID_Crisis_2020,806605AH4 Corp,-27.37866340290357,1.207367793950766,1.8574519142588442,1.1912445009375767,1.2071996111566015,-1.3354085717683843,-0.01392970683890031
barbell,COVID_Crisis_2020,532457BA5 Corp,-26.698929676808245,2.381488821280982,2.255349106654801,2.347265883951243,2.38111693311859,-1.4370395957319966,-0.015615784507102588
barbell,COVID_Crisis_2020,92976GAJ0 Corp,-10.49300172412504,0.9816879616667507,0.8904599283615718,0.9758780799309285,0.9816618044425572,-0.5918257086455394,-0.002664515122402223
barbell,COVID_Crisis_2020,438516AT3 Corp,-5.872262492948449,0.24091174608673782,0.39824576517446425,0.2402309758294071,0.24091025682154632,-0.28258076593974174,-0.0006181787379370286
barbell,COVID_Crisis_2020,EG6454136 Corp,25.459414158262305,-0.38736082582748566,-0.42845370810747135,-0.388656933447824,-0.3873569437912531,0.33459956038909294,-0.0010021757425353287
barbell,COVID_Crisis_2020,136375BQ4 Corp,20.757795236488462,-0.8910887260200511,-1.408835602781761,-0.9004455988466651,-0.8910120833063013,1.0500495128476655,-0.008601019349897715
barbell,COVID_Crisis_2020,278058DB5 Corp,23.46495411142818,-2.005576672845507,-1.9020377919421478,-2.0308943646228323,-2.0053351871340603,1.262364691418393,-0.012040712016456333
barbell,COVID_Crisis_2020,670346AH8 Corp,70.87061826383773,-2.972191040789056,-4.687369170771664,-3.0792809368063483,-2.9691870771180997,3.6030623384445013,-0.10106899690266762
