,806605AH4 Corp,532457BA5 Corp,665772CC1 Corp,557497AR5 Corp,693304AJ6 Corp,69351UAK9 Corp,12189TAZ7 Corp,65334HAG7 Corp,046353AD0 Corp
Company,Merck & Co Inc,Eli Lilly & Co,Northern States Power Co/MN,Madison Gas and Electric Co,PECO Energy Co,PPL Electric Utilities Corp,Burlington Northern Santa Fe LLC,CNOOC Petroleum North America ULC,AstraZeneca PLC
Ticker,MRK,LLY,XEL,MGEE,EXC,PPL,BNSF,CNOOC,AZN
Rating,A+,A+,A+,A+,A+,A+,A+,A+,A+
Issue Date,2007-09-17 00:00:00,2007-03-14 00:00:00,2007-06-26 00:00:00,2007-09-19 00:00:00,2007-03-19 00:00:00,2007-08-13 00:00:00,2007-04-13 00:00:00,2007-05-04 00:00:00,2007-09-12 00:00:00
Maturity Date,2037-09-15 00:00:00,2037-03-15 00:00:00,2037-07-01 00:00:00,2037-09-15 00:00:00,2037-03-15 00:00:00,2037-08-15 00:00:00,2037-05-01 00:00:00,2037-05-15 00:00:00,2037-09-15 00:00:00
2023-09-21 00:00:00,78.845,102.354,78.845,78.845,92.616,101.62,105.873,104.234,78.845
2023-09-22 00:00:00,77.998,102.924,77.998,77.998,91.496,102.068,106.455,104.791,77.998
2023-09-25 00:00:00,77.015,101.986,77.015,77.015,91.142,101.047,105.309,103.798,77.015
2023-09-26 00:00:00,76.027,101.977,76.027,76.027,91.035,100.559,105.331,103.763,76.027
2023-09-27 00:00:00,77.434,101.391,77.434,77.434,90.816,100.343,104.585,103.152,77.434
2023-09-28 00:00:00,77.151,101.638,77.151,77.151,90.572,100.574,104.83,103.284,77.151
2023-09-29 00:00:00,76.748,101.732,76.748,76.748,90.852,100.49,104.872,103.441,76.748
2023-10-02 00:00:00,74.776,100.581,74.776,74.776,89.553,99.545,103.668,102.476,74.776
2023-10-03 00:00:00,73.62,99.335,73.62,73.62,88.96,98.701,102.451,101.318,73.62
2023-10-04 00:00:00,72.964,100.06,72.964,72.964,88.751,99.314,103.159,101.829,72.964
2023-10-05 00:00:00,71.82,100.255,71.82,71.82,89.78,99.144,103.231,101.91,71.82
2023-10-06 00:00:00,72.38,99.603,72.38,72.38,88.447,98.424,102.416,101.112,72.38
2023-10-10 00:00:00,73.676,101.288,73.676,73.676,90.322,99.62,104.008,102.656,73.676
2023-10-11 00:00:00,74.505,102.278,74.505,74.505,91.256,100.605,105.11,103.704,74.505
2023-10-12 00:00:00,73.974,100.825,73.974,73.974,90.531,99.071,103.188,102.322,73.974
2023-10-13 00:00:00,74.563,101.875,74.563,74.563,90.657,99.613,104.062,103.078,74.563
2023-10-16 00:00:00,74.163,100.305,74.163,74.163,89.97,98.769,103.068,102.008,74.163
2023-10-17 00:00:00,73.672,99.162,73.672,73.672,88.824,97.871,101.955,100.985,73.672
2023-10-18 00:00:00,72.954,98.523,72.954,72.954,88.071,97.216,101.341,100.318,72.954
2023-10-19 00:00:00,70.978,97.689,70.978,70.978,87.304,96.587,99.809,99.64,70.978
2023-10-20 00:00:00,70.256,98.295,70.256,70.256,87.419,96.921,100.38,100.222,70.256
2023-10-23 00:00:00,71.423,99.112,71.423,71.423,87.407,97.319,101.148,100.835,71.423
2023-10-24 00:00:00,72.079,99.577,72.079,72.079,88.028,97.901,101.479,101.09,72.079
2023-10-25 00:00:00,71.808,97.954,71.808,71.808,86.435,96.708,100.536,99.938,71.808
2023-10-26 00:00:00,71.136,99.026,71.136,71.136,87.427,97.302,101.627,100.851,71.136
2023-10-27 00:00:00,71.039,99.125,71.039,71.039,87.779,97.309,101.34,100.731,71.039
2023-10-30 00:00:00,71.226,98.613,71.226,71.226,89.458,97.078,100.762,100.148,71.226
2023-10-31 00:00:00,71.463,98.364,71.463,71.463,87.475,96.991,100.413,99.895,71.463
2023-11-01 00:00:00,71.861,100.299,71.861,71.861,87.594,98.226,102.227,101.608,71.861
2023-11-02 00:00:00,73.266,101.206,73.266,73.266,87.72,99.151,103.142,102.129,73.266
2023-11-03 00:00:00,75.749,102.015,75.749,75.749,88.815,99.727,103.878,102.785,75.749
2023-11-06 00:00:00,74.299,101.546,74.299,74.299,88.534,99.229,103.179,102.343,74.299
2023-11-07 00:00:00,73.586,102.125,73.586,73.586,90.824,99.976,103.781,103.036,73.586
2023-11-08 00:00:00,72.696,102.669,72.696,72.696,91.24,100.609,104.818,103.903,72.696
2023-11-09 00:00:00,73.427,101.079,73.427,73.427,88.766,99.593,103.197,102.346,73.427
2023-11-10 00:00:00,73.046,100.997,73.046,73.046,89.312,100.049,103.093,102.284,73.046
2023-11-13 00:00:00,72.73,101.414,72.73,72.73,89.693,99.834,103.379,102.295,72.73
2023-11-14 00:00:00,74.059,103.649,74.059,74.059,90.572,101.616,105.248,104.354,74.059
2023-11-15 00:00:00,74.871,102.679,74.871,74.871,89.862,100.632,104.619,103.543,74.871
2023-11-16 00:00:00,72.94,103.532,72.94,72.94,90.704,101.346,105.568,104.381,72.94
2023-11-17 00:00:00,75.562,103.652,75.562,75.562,91.045,101.705,106.005,104.444,75.562
2023-11-20 00:00:00,73.82,104.02,73.82,73.82,91.462,101.9,107.673,104.663,73.82
2023-11-21 00:00:00,74.303,104.247,74.303,74.303,91.73,101.989,106.156,104.89,74.303
2023-11-22 00:00:00,73.726,104.187,73.726,73.726,93.732,102.283,106.067,105.417,73.726
2023-11-24 00:00:00,73.738,103.441,73.738,73.738,93.19,101.722,105.487,104.813,73.738
2023-11-27 00:00:00,73.781,104.182,73.781,73.781,93.834,102.391,106.397,105.136,73.781
2023-11-28 00:00:00,74.769,104.782,74.769,74.769,93.685,102.853,107.489,105.732,74.769
2023-11-29 00:00:00,75.31,105.564,75.31,75.31,94.078,103.643,108.096,106.353,75.31
2023-11-30 00:00:00,75.645,105.127,75.645,75.645,94.776,103.074,107.62,106.044,75.645
2023-12-01 00:00:00,76.557,106.699,76.557,76.557,93.5,104.167,108.921,107.087,76.557
2023-12-04 00:00:00,77.301,105.923,77.301,77.301,94.873,103.915,108.528,106.713,77.301
2023-12-05 00:00:00,77.214,106.087,77.214,77.214,94.39,104.806,108.905,107.58,77.214
2023-12-06 00:00:00,75.144,106.665,75.144,75.144,92.67,105.384,109.582,108.357,75.144
2023-12-07 00:00:00,74.584,106.244,74.584,74.584,92.376,105.349,109.029,107.956,74.584
2023-12-08 00:00:00,74.27,105.677,74.27,74.27,91.629,104.722,108.617,107.33,74.27
2023-12-11 00:00:00,74.167,105.475,74.167,74.167,95.143,104.507,108.638,107.28,74.167
2023-12-12 00:00:00,73.233,106.049,73.233,73.233,95.558,104.869,108.967,107.605,73.233
2023-12-13 00:00:00,74.603,108.309,74.603,74.603,96.432,106.604,111.199,109.226,74.603
2023-12-14 00:00:00,78.069,109.969,78.069,78.069,97.991,107.982,112.34,110.598,78.069
2023-12-15 00:00:00,77.874,109.967,77.874,77.874,97.806,107.842,112.403,110.795,77.874
2023-12-18 00:00:00,78.6,109.706,78.6,78.6,97.449,107.435,112.158,110.602,78.6
2023-12-19 00:00:00,79.961,109.677,79.961,79.961,97.586,107.714,112.01,110.589,79.961
2023-12-20 00:00:00,79.759,110.171,79.759,79.759,98.142,108.42,112.561,111.248,79.759
2023-12-21 00:00:00,79.641,109.669,79.641,79.641,97.51,107.996,112.763,110.997,79.641
2023-12-22 00:00:00,79.669,109.478,79.669,79.669,97.114,108.073,112,110.837,79.669
2023-12-26 00:00:00,79.96,109.667,79.96,79.96,98.016,108.288,111.824,110.778,79.96
2023-12-27 00:00:00,81.758,110.77,81.758,81.758,98.848,109.302,112.832,111.898,81.758
2023-12-28 00:00:00,81.487,110.465,81.487,81.487,100.495,108.787,112.832,111.555,81.487
2023-12-29 00:00:00,80.303,109.473,80.303,80.303,99.587,108.525,112.557,111.293,80.303
2024-01-02 00:00:00,79.352,109.098,79.352,79.352,96.793,107.614,111.855,110.577,79.352
2024-01-03 00:00:00,79.17,108.832,79.17,79.17,99.143,107.982,111.584,110.625,79.17
2024-01-04 00:00:00,79.47,108.085,79.47,79.47,97.214,107.078,110.693,109.955,79.47
2024-01-05 00:00:00,79.952,107.535,79.952,79.952,97.486,106.591,110.308,109.441,79.952
2024-01-08 00:00:00,79.565,107.819,79.565,79.565,100.328,107.193,110.698,109.441,79.565
