,670346AH8 Corp,94973VAN7 Corp,15189WAD2 Corp,02364WAP0 Corp,759509AB8 Corp,761713AT3 Corp,13645RAF1 Corp,98417EAC4 Corp,58013MEC4 Corp,744533BJ8 Corp,976826BE6 Corp,15361GAQ8 Corp,476556CX1 Corp,548661CP0 Corp,867229AE6 Corp,88579EAC9 Corp,75913MAA7 Corp,126408GK3 Corp,74834LAN0 Corp,92343VAF1 Corp,037735CK1 Corp,38141GFD1 Corp
Company,Nucor Corp,Elevance Health Inc,CenterPoint Energy Resources Corp,America Movil SAB de CV,Reliance Inc,Reynolds American Inc,Canadian Pacific Railway Co,Glencore Finance Canada Ltd,McDonald's Corp,Public Service Co of Oklahoma,Wisconsin Power and Light Co,Central Hudson Gas & Electric Corp,Jersey Central Power & Light Co,Lowe's Cos Inc,Suncor Energy Inc,3M Co,Regions Bank/Birmingham AL,CSX Corp,Quest Diagnostics Inc,Verizon Communications Inc,Appalachian Power Co,Goldman Sachs Group Inc/The
Ticker,NUE,ELV,CNP,AMXLMM,RS,BATSLN,CP,GLENLN,MCD,AEP,LNT,FTSCN,FE,LOW,SUCN,MMM,RF,CSX,DGX,VZ,AEP,GS
Rating,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+
Issue Date,2007-12-03 00:00:00,2007-06-08 00:00:00,2007-10-23 00:00:00,2007-10-30 00:00:00,2007-03-30 00:00:00,2007-06-21 00:00:00,2007-05-08 00:00:00,2007-11-20 00:00:00,2007-10-18 00:00:00,2007-11-14 00:00:00,2007-08-15 00:00:00,2007-03-23 00:00:00,2007-12-13 00:00:00,2007-09-11 00:00:00,2007-06-28 00:00:00,2007-03-29 00:00:00,2007-06-26 00:00:00,2007-04-25 00:00:00,2007-06-22 00:00:00,2007-04-03 00:00:00,2007-08-17 00:00:00,2007-10-03 00:00:00
Maturity Date,2037-12-01 00:00:00,2037-06-15 00:00:00,2037-11-01 00:00:00,2037-11-15 00:00:00,2036-11-15 00:00:00,2037-06-15 00:00:00,2037-05-15 00:00:00,2037-11-15 00:00:00,2037-10-15 00:00:00,2037-11-15 00:00:00,2037-08-15 00:00:00,2037-03-23 00:00:00,2037-06-01 00:00:00,2037-09-15 00:00:00,2038-06-15 00:00:00,2037-03-15 00:00:00,2037-06-26 00:00:00,2037-05-01 00:00:00,2037-07-01 00:00:00,2037-04-01 00:00:00,2037-08-15 00:00:00,2037-10-01 00:00:00
2015-12-28 00:00:00,52.524,52.524,52.524,110.936,52.524,52.524,112.559,78.566,118.641,120.525,128.413,52.524,52.524,130.414,109.518,52.524,52.524,52.524,52.524,112.443,52.524,118.012
2015-12-29 00:00:00,54.919,54.919,54.919,109.718,54.919,54.919,111.499,78.574,117.554,119.389,127.157,54.919,54.919,129.162,108.165,54.919,54.919,54.919,54.919,111.844,54.919,117.245
2015-12-30 00:00:00,53.354,53.354,53.354,109.684,53.354,53.354,111.856,78.735,118.849,119.761,127.572,53.354,53.354,129.542,108.055,53.354,53.354,53.354,53.354,112.4,53.354,117.55
2015-12-31 00:00:00,52.857,52.857,52.857,110.003,52.857,52.857,112.216,78.928,118.673,120.146,127.997,52.857,52.857,129.993,108.918,52.857,52.857,52.857,52.857,112.669,52.857,117.872
2016-01-04 00:00:00,53.427,53.427,53.427,110.565,53.427,53.427,112.536,78.189,118.903,120.481,128.388,53.427,53.427,130.193,108.26,53.427,53.427,53.427,53.427,112.211,53.427,117.023
2016-01-05 00:00:00,55.137,55.137,55.137,110.98,55.137,55.137,112.782,78.351,118.613,120.742,128.647,55.137,55.137,130.461,108.082,55.137,55.137,55.137,55.137,112.344,55.137,116.968
2016-01-06 00:00:00,53.756,53.756,53.756,111.8,53.756,53.756,113.62,77.595,119.094,121.624,129.607,53.756,53.756,130.986,108.53,53.756,53.756,53.756,53.756,113.105,53.756,117.351
2016-01-07 00:00:00,52.945,52.945,52.945,112.16,52.945,52.945,113.586,76.096,118.718,122.034,130.053,52.945,52.945,131.093,108.182,52.945,52.945,52.945,52.945,112.9,52.945,117.137
2016-01-08 00:00:00,52.928,52.928,52.928,112.408,52.928,52.928,114.538,76.368,119.382,123.043,130.849,52.928,52.928,131.74,108.555,52.928,52.928,52.928,52.928,113.139,52.928,117.756
2016-01-11 00:00:00,50.175,50.175,50.175,111.106,50.175,50.175,113.489,75.066,118.33,122.459,130.204,50.175,50.175,130.707,107.356,50.175,50.175,50.175,50.175,111.724,50.175,116.445
2016-01-12 00:00:00,49.398,49.398,49.398,110.905,49.398,49.398,113.201,73.17,118.981,123.541,131.409,49.398,49.398,131.791,106.663,49.398,49.398,49.398,49.398,112.591,49.398,117.577
2016-01-13 00:00:00,46.968,46.968,46.968,110.381,46.968,46.968,113.385,72.509,118.787,123.736,131.612,46.968,46.968,132.007,106.979,46.968,46.968,46.968,46.968,112.212,46.968,118.216
2016-01-14 00:00:00,49.014,49.014,49.014,109.817,49.014,49.014,113.357,71.894,118.476,123.712,131.541,49.014,49.014,131.681,106.417,49.014,49.014,49.014,49.014,111.7,49.014,117.318
2016-01-15 00:00:00,46.25,46.25,46.25,109.592,46.25,46.25,114.223,70.107,118.501,124.65,132.567,46.25,46.25,131.931,106.449,46.25,46.25,46.25,46.25,111.883,46.25,117.404
2016-01-19 00:00:00,43.691,43.691,43.691,108.262,43.691,43.691,114.008,69.378,117.188,124.425,132.322,43.691,43.691,131.614,100.846,43.691,43.691,43.691,43.691,111.796,43.691,116.875
2016-01-20 00:00:00,41.743,41.743,41.743,110.403,41.743,41.743,114.062,68.462,118.302,125.379,133.391,41.743,41.743,131.473,100.768,41.743,41.743,41.743,41.743,111.245,41.743,115.412
2016-01-21 00:00:00,43.392,43.392,43.392,108.925,43.392,43.392,113.555,70.686,117.107,124.541,132.433,43.392,43.392,130.42,99.699,43.392,43.392,43.392,43.392,111.976,43.392,115.762
2016-01-22 00:00:00,45.624,45.624,45.624,108.819,45.624,45.624,113.464,71.928,117.389,124.243,132.116,45.624,45.624,130.108,101.832,45.624,45.624,45.624,45.624,111.432,45.624,115.831
2016-01-25 00:00:00,45.94,45.94,45.94,109.238,45.94,45.94,114.069,72.207,117.363,124.901,132.844,45.94,45.94,130.808,100.4,45.94,45.94,45.94,45.94,111.727,45.94,116.488
2016-01-26 00:00:00,45.701,45.701,45.701,109.356,45.701,45.701,114.213,71.633,117.197,125.056,133.013,45.701,45.701,130.909,98.154,45.701,45.701,45.701,45.701,111.064,45.701,116.323
2016-01-27 00:00:00,45.86,45.86,45.86,109.565,45.86,45.86,113.915,71.802,116.926,124.733,132.651,45.86,45.86,130.565,97.123,45.86,45.86,45.86,45.86,110.991,45.86,115.964
2016-01-28 00:00:00,46.254,46.254,46.254,109.735,46.254,46.254,114.157,71.902,118.03,124.996,132.939,46.254,46.254,130.35,97.177,46.254,46.254,46.254,46.254,110.907,46.254,116.162
2016-01-29 00:00:00,47.504,47.504,47.504,110.463,47.504,47.504,114.033,72.322,118.156,125.947,133.985,47.504,47.504,131.068,97.316,47.504,47.504,47.504,47.504,111.721,47.504,116.873
2016-02-01 00:00:00,46.082,46.082,46.082,110.094,46.082,46.082,113.652,71.697,117.714,125.525,133.521,46.082,46.082,130.23,96.578,46.082,46.082,46.082,46.082,111.118,46.082,116.272
2016-02-02 00:00:00,45.382,45.382,45.382,111.375,45.382,45.382,114.935,71.01,119.031,127.236,135.408,45.382,45.382,132.001,96.299,45.382,45.382,45.382,45.382,111.764,45.382,116.434
2016-02-03 00:00:00,45.129,45.129,45.129,110.346,45.129,45.129,114.489,70.63,117.574,126.737,134.855,45.129,45.129,130.515,93.018,45.129,45.129,45.129,45.129,111.513,45.129,115.178
2016-02-04 00:00:00,46.567,46.567,46.567,110.491,46.567,46.567,114.406,72.426,118.181,126.635,134.733,46.567,46.567,130.583,94.486,46.567,46.567,46.567,46.567,111.974,46.567,115.576
2016-02-05 00:00:00,45.748,45.748,45.748,110.374,45.748,45.748,114.256,75.468,118.534,126.481,134.55,45.748,45.748,130.451,93.632,45.748,45.748,45.748,45.748,112.27,45.748,115.642
2016-02-08 00:00:00,44.832,44.832,44.832,110.445,44.832,44.832,115.566,75.08,119.704,127.931,136.152,44.832,44.832,132.555,93.208,44.832,44.832,44.832,44.832,112.907,44.832,113.734
2016-02-09 00:00:00,44.4,44.4,44.4,110.2,44.4,44.4,116.105,75.029,119.66,128.526,136.813,44.4,44.4,132.988,93.647,44.4,44.4,44.4,44.4,112.935,44.4,113.117
2016-02-10 00:00:00,43.093,43.093,43.093,110.83,43.093,43.093,117.468,75.591,121.425,130.018,138.479,43.093,43.093,134.53,94.139,43.093,43.093,43.093,43.093,114.198,43.093,114.673
2016-02-11 00:00:00,40.342,40.342,40.342,110.105,40.342,40.342,117.649,75.955,120.777,130.905,139.502,40.342,40.342,134.698,95.117,40.342,40.342,40.342,40.342,113.49,40.342,110.683
2016-02-12 00:00:00,42.289,42.289,42.289,108.544,42.289,42.289,115.907,74.741,118.385,128.964,136.603,42.289,42.289,132.625,94.182,42.289,42.289,42.289,42.289,112.272,42.289,110.218
2016-02-16 00:00:00,42.615,42.615,42.615,108.01,42.615,42.615,115.579,75.662,119.009,128.598,136.199,42.615,42.615,132.246,92.717,42.615,42.615,42.615,42.615,111.961,42.615,110.933
2016-02-17 00:00:00,43.461,43.461,43.461,107.659,43.461,43.461,114.841,74.823,118.685,127.771,135.283,43.461,43.461,131.786,89.292,43.461,43.461,43.461,43.461,111.505,43.461,111.659
2016-02-18 00:00:00,42.702,42.702,42.702,108.788,42.702,42.702,115.716,76.626,120.311,128.786,136.4,42.702,42.702,133.182,90.684,42.702,42.702,42.702,42.702,112.583,42.702,113.318
2016-02-19 00:00:00,42.839,42.839,42.839,108.987,42.839,42.839,115.611,78.05,119.812,128.591,136.27,42.839,42.839,132.776,90.804,42.839,42.839,42.839,42.839,112.363,42.839,114.101
2016-02-22 00:00:00,43.908,43.908,43.908,109.214,43.908,43.908,115.556,79.114,119.751,128.53,136.2,43.908,43.908,132.706,90.256,43.908,43.908,43.908,43.908,112.313,43.908,114.734
2016-02-23 00:00:00,42.588,42.588,42.588,110.104,42.588,42.588,116.152,80,120.382,129.198,136.931,42.588,42.588,133.398,90.624,42.588,42.588,42.588,42.588,112.821,42.588,114.818
2016-02-24 00:00:00,41.646,41.646,41.646,110.187,41.646,41.646,115.82,79.416,121.381,128.705,136.517,41.646,41.646,132.879,89.793,41.646,41.646,41.646,41.646,112.108,41.646,113.696
2016-02-25 00:00:00,42.873,42.873,42.873,110.232,42.873,42.873,116.35,77.997,120.609,129.202,137.15,42.873,42.873,133.478,90.58,42.873,42.873,42.873,42.873,113.035,42.873,114.185
