,88732JAJ7 Corp,314275AC2 Corp,53079EAN4 Corp,53079EAN4 Corp_3,92553PAC6 Corp
Company,Time Warner Cable LLC,Macy's Retail Holdings LLC,Liberty Mutual Group Inc,Liberty Mutual Group Inc,Paramount Global
Ticker,CHTR,M,LIBMUT,LIBMUT,PARA
Rating,BB+,BB+,BB+,BB+,BB+
Issue Date,2007-10-30 00:00:00,2007-03-12 00:00:00,2007-03-07 00:00:00,2007-03-07 00:00:00,2007-10-05 00:00:00
Maturity Date,2037-05-01 00:00:00,2037-03-15 00:00:00,2037-03-15 00:00:00,2037-03-15 00:00:00,2037-10-05 00:00:00
2015-12-07 00:00:00,12.429,12.429,12.429,12.429,12.429
2015-12-08 00:00:00,12.323,12.323,12.323,12.323,12.323
2015-12-09 00:00:00,12.44,12.44,12.44,12.44,12.44
2015-12-10 00:00:00,12.693,12.693,12.693,12.693,12.693
2015-12-11 00:00:00,13.354,13.354,13.354,13.354,13.354
2015-12-14 00:00:00,13.337,13.337,13.337,13.337,13.337
2015-12-15 00:00:00,13.115,13.115,13.115,13.115,13.115
2015-12-16 00:00:00,13.173,13.173,13.173,13.173,13.173
2015-12-17 00:00:00,13.558,13.558,13.558,13.558,13.558
2015-12-18 00:00:00,14.813,14.813,14.813,14.813,14.813
2015-12-21 00:00:00,14.4,14.4,14.4,14.4,14.4
2015-12-22 00:00:00,13.693,13.693,13.693,13.693,13.693
2015-12-23 00:00:00,12.268,12.268,12.268,12.268,12.268
2015-12-24 00:00:00,12.564,12.564,12.564,12.564,12.564
2015-12-28 00:00:00,13.635,13.635,13.635,13.635,13.635
2015-12-29 00:00:00,13.063,13.063,13.063,13.063,13.063
2015-12-30 00:00:00,13.432,13.432,13.432,13.432,13.432
2015-12-31 00:00:00,13.554,13.554,13.554,13.554,13.554
2016-01-04 00:00:00,13.415,13.415,13.415,13.415,13.415
2016-01-05 00:00:00,13.014,13.014,13.014,13.014,13.014
2016-01-06 00:00:00,13.338,13.338,13.338,13.338,13.338
2016-01-07 00:00:00,13.534,13.534,13.534,13.534,13.534
2016-01-08 00:00:00,13.538,13.538,13.538,13.538,13.538
2016-01-11 00:00:00,14.247,14.247,14.247,14.247,14.247
2016-01-12 00:00:00,14.46,14.46,14.46,14.46,14.46
2016-01-13 00:00:00,15.168,15.168,15.168,15.168,15.168
2016-01-14 00:00:00,14.569,14.569,14.569,14.569,14.569
2016-01-15 00:00:00,15.39,15.39,15.39,15.39,15.39
2016-01-19 00:00:00,16.234,16.234,16.234,16.234,16.234
2016-01-20 00:00:00,16.942,16.942,16.942,16.942,16.942
2016-01-21 00:00:00,16.341,16.341,16.341,16.341,16.341
2016-01-22 00:00:00,15.591,15.591,15.591,15.591,15.591
2016-01-25 00:00:00,15.49,15.49,15.49,15.49,15.49
2016-01-26 00:00:00,15.567,15.567,15.567,15.567,15.567
2016-01-27 00:00:00,15.517,15.517,15.517,15.517,15.517
2016-01-28 00:00:00,15.393,15.393,15.393,15.393,15.393
